data_version,target,location,date,quantil,type,value
2021-03-14,7 day R,DE,30.11.2020,NA,point,"1,07"
2021-03-14,7 day R,DE,01.12.2020,NA,point,"1,09"
2021-03-14,7 day R,DE,02.12.2020,NA,point,"1,12"
2021-03-14,7 day R,DE,03.12.2020,NA,point,"1,14"
2021-03-14,7 day R,DE,04.12.2020,NA,point,"1,15"
2021-03-14,7 day R,DE,05.12.2020,NA,point,"1,16"
2021-03-14,7 day R,DE,06.12.2020,NA,point,"1,16"
2021-03-14,7 day R,DE,07.12.2020,NA,point,"1,15"
2021-03-14,7 day R,DE,08.12.2020,NA,point,"1,15"
2021-03-14,7 day R,DE,09.12.2020,NA,point,"1,13"
2021-03-14,7 day R,DE,10.12.2020,NA,point,"1,11"
2021-03-14,7 day R,DE,11.12.2020,NA,point,"1,09"
2021-03-14,7 day R,DE,12.12.2020,NA,point,"1,07"
2021-03-14,7 day R,DE,13.12.2020,NA,point,"1,05"
2021-03-14,7 day R,DE,14.12.2020,NA,point,"1,04"
2021-03-14,7 day R,DE,15.12.2020,NA,point,"1,03"
2021-03-14,7 day R,DE,16.12.2020,NA,point,"1,01"
2021-03-14,7 day R,DE,17.12.2020,NA,point,"0,99"
2021-03-14,7 day R,DE,18.12.2020,NA,point,"0,97"
2021-03-14,7 day R,DE,19.12.2020,NA,point,"0,96"
2021-03-14,7 day R,DE,20.12.2020,NA,point,"0,94"
2021-03-14,7 day R,DE,21.12.2020,NA,point,"0,91"
2021-03-14,7 day R,DE,22.12.2020,NA,point,"0,88"
2021-03-14,7 day R,DE,23.12.2020,NA,point,"0,85"
2021-03-14,7 day R,DE,24.12.2020,NA,point,"0,83"
2021-03-14,7 day R,DE,25.12.2020,NA,point,"0,83"
2021-03-14,7 day R,DE,26.12.2020,NA,point,"0,86"
2021-03-14,7 day R,DE,27.12.2020,NA,point,"0,89"
2021-03-14,7 day R,DE,28.12.2020,NA,point,"0,93"
2021-03-14,7 day R,DE,29.12.2020,NA,point,"0,95"
2021-03-14,7 day R,DE,30.12.2020,NA,point,"0,95"
2021-03-14,7 day R,DE,31.12.2020,NA,point,"0,95"
2021-03-14,7 day R,DE,01.01.2021,NA,point,"0,97"
2021-03-14,7 day R,DE,02.01.2021,NA,point,"0,98"
2021-03-14,7 day R,DE,03.01.2021,NA,point,"0,99"
2021-03-14,7 day R,DE,04.01.2021,NA,point,"0,99"
2021-03-14,7 day R,DE,05.01.2021,NA,point,"1,00"
2021-03-14,7 day R,DE,06.01.2021,NA,point,"1,01"
2021-03-14,7 day R,DE,07.01.2021,NA,point,"1,02"
2021-03-14,7 day R,DE,08.01.2021,NA,point,"1,00"
2021-03-14,7 day R,DE,09.01.2021,NA,point,"0,96"
2021-03-14,7 day R,DE,10.01.2021,NA,point,"0,91"
2021-03-14,7 day R,DE,11.01.2021,NA,point,"0,88"
2021-03-14,7 day R,DE,12.01.2021,NA,point,"0,88"
2021-03-14,7 day R,DE,13.01.2021,NA,point,"0,88"
2021-03-14,7 day R,DE,14.01.2021,NA,point,"0,90"
2021-03-14,7 day R,DE,15.01.2021,NA,point,"0,92"
2021-03-14,7 day R,DE,16.01.2021,NA,point,"0,93"
2021-03-14,7 day R,DE,17.01.2021,NA,point,"0,94"
2021-03-14,7 day R,DE,18.01.2021,NA,point,"0,94"
2021-03-14,7 day R,DE,19.01.2021,NA,point,"0,94"
2021-03-14,7 day R,DE,20.01.2021,NA,point,"0,94"
2021-03-14,7 day R,DE,21.01.2021,NA,point,"0,93"
2021-03-14,7 day R,DE,22.01.2021,NA,point,"0,93"
2021-03-14,7 day R,DE,23.01.2021,NA,point,"0,92"
2021-03-14,7 day R,DE,24.01.2021,NA,point,"0,91"
2021-03-14,7 day R,DE,25.01.2021,NA,point,"0,90"
2021-03-14,7 day R,DE,26.01.2021,NA,point,"0,88"
2021-03-14,7 day R,DE,27.01.2021,NA,point,"0,88"
2021-03-14,7 day R,DE,28.01.2021,NA,point,"0,89"
2021-03-14,7 day R,DE,29.01.2021,NA,point,"0,89"
2021-03-14,7 day R,DE,30.01.2021,NA,point,"0,90"
2021-03-14,7 day R,DE,31.01.2021,NA,point,"0,89"
2021-03-14,7 day R,DE,01.02.2021,NA,point,"0,89"
2021-03-14,7 day R,DE,02.02.2021,NA,point,"0,90"
2021-03-14,7 day R,DE,03.02.2021,NA,point,"0,89"
2021-03-14,7 day R,DE,04.02.2021,NA,point,"0,89"
2021-03-14,7 day R,DE,05.02.2021,NA,point,"0,89"
2021-03-14,7 day R,DE,06.02.2021,NA,point,"0,89"
2021-03-14,7 day R,DE,07.02.2021,NA,point,"0,88"
2021-03-14,7 day R,DE,08.02.2021,NA,point,"0,88"
2021-03-14,7 day R,DE,09.02.2021,NA,point,"0,88"
2021-03-14,7 day R,DE,10.02.2021,NA,point,"0,89"
2021-03-14,7 day R,DE,11.02.2021,NA,point,"0,91"
2021-03-14,7 day R,DE,12.02.2021,NA,point,"0,94"
2021-03-14,7 day R,DE,13.02.2021,NA,point,"0,97"
2021-03-14,7 day R,DE,14.02.2021,NA,point,"1,00"
2021-03-14,7 day R,DE,15.02.2021,NA,point,"1,02"
2021-03-14,7 day R,DE,16.02.2021,NA,point,"1,04"
2021-03-14,7 day R,DE,17.02.2021,NA,point,"1,05"
2021-03-14,7 day R,DE,18.02.2021,NA,point,"1,06"
2021-03-14,7 day R,DE,19.02.2021,NA,point,"1,07"
2021-03-14,7 day R,DE,20.02.2021,NA,point,"1,07"
